DATE,A34SVS
2000-01-01,40027
2000-02-01,39935
2000-03-01,40945
2000-04-01,42122
2000-05-01,42641
2000-06-01,42212
2000-07-01,42526
2000-08-01,43502
2000-09-01,44412
2000-10-01,43495
2000-11-01,43117
2000-12-01,44534
2001-01-01,42538
2001-02-01,41726
2001-03-01,40150
2001-04-01,36643
2001-05-01,35574
2001-06-01,36051
2001-07-01,34241
2001-08-01,33120
2001-09-01,33125
2001-10-01,32408
2001-11-01,32290
2001-12-01,32826
2002-01-01,31460.0
2002-02-01,31555.0
2002-03-01,31313.0
2002-04-01,30961.0
2002-05-01,31071.0
2002-06-01,29976.0
2002-07-01,29775.0
2002-08-01,29855.0
2002-09-01,28792.0
2002-10-01,28205.0
2002-11-01,28961.0
2002-12-01,27401.0
2003-01-01,28320.0
2003-02-01,28419.0
2003-03-01,28179.0
2003-04-01,28896.0
2003-05-01,28899.0
2003-06-01,29161.0
2003-07-01,29058.0
2003-08-01,29249.0
2003-09-01,29983.0
2003-10-01,30744.0
2003-11-01,30078.0
2003-12-01,30741.0
2004-01-01,30170.0
2004-02-01,29719.0
2004-03-01,29844.0
2004-04-01,30469.0
2004-05-01,30249.0
2004-06-01,30116.0
2004-07-01,30797.0
2004-08-01,30466.0
2004-09-01,30058.0
2004-10-01,31040.0
2004-11-01,30801.0
2004-12-01,31179.0
2005-01-01,30490.0
2005-02-01,30482.0
2005-03-01,31280.0
2005-04-01,30386.0
2005-05-01,30595.0
2005-06-01,31034.0
2005-07-01,30311.0
2005-08-01,31311.0
2005-09-01,31483.0
2005-10-01,30988.0
2005-11-01,31409.0
2005-12-01,33089.0
2006-01-01,30575.0
2006-02-01,33313.0
2006-03-01,33142.0
2006-04-01,31569.0
2006-05-01,33051.0
2006-06-01,33288.0
2006-07-01,31876.0
2006-08-01,33312.0
2006-09-01,33254.0
2006-10-01,32103.0
2006-11-01,33137.0
2006-12-01,32438.0
2007-01-01,32299
2007-02-01,33446
2007-03-01,32892
2007-04-01,33034
2007-05-01,33257
2007-06-01,33439
2007-07-01,31153
2007-08-01,33061
2007-09-01,33049
2007-10-01,32442
2007-11-01,33726
2007-12-01,33629
2008-01-01,34257
2008-02-01,33268
2008-03-01,32787
2008-04-01,32979
2008-05-01,33360
2008-06-01,32200
2008-07-01,32316
2008-08-01,31045
2008-09-01,31439
2008-10-01,30141
2008-11-01,28878
2008-12-01,30244
2009-01-01,26811
2009-02-01,26803
2009-03-01,26776
2009-04-01,25941
2009-05-01,25699
2009-06-01,25968
2009-07-01,27119
2009-08-01,26600
2009-09-01,26458
2009-10-01,27314
2009-11-01,27134
2009-12-01,26572
2010-01-01,28163
2010-02-01,26959
2010-03-01,26082
2010-04-01,27815
2010-05-01,27208
2010-06-01,25679
2010-07-01,28038
2010-08-01,27333
2010-09-01,27324
2010-10-01,27681
