DATE,AMTMVS
2000-01-01,352617
2000-02-01,339991
2000-03-01,349386
2000-04-01,355440
2000-05-01,349201
2000-06-01,354776
2000-07-01,351342
2000-08-01,346480
2000-09-01,356101
2000-10-01,348744
2000-11-01,346841
2000-12-01,351481
2001-01-01,342456
2001-02-01,346340
2001-03-01,339850
2001-04-01,330760
2001-05-01,337868
2001-06-01,331263
2001-07-01,327673
2001-08-01,330587
2001-09-01,321971
2001-10-01,320055
2001-11-01,320020
2001-12-01,322366
2002-01-01,320227.0
2002-02-01,320048.0
2002-03-01,321653.0
2002-04-01,326961.0
2002-05-01,329124.0
2002-06-01,328792.0
2002-07-01,325136.0
2002-08-01,329890.0
2002-09-01,330380.0
2002-10-01,329569.0
2002-11-01,330925.0
2002-12-01,324666.0
2003-01-01,329775.0
2003-02-01,333300.0
2003-03-01,335969.0
2003-04-01,325729.0
2003-05-01,329152.0
2003-06-01,332387.0
2003-07-01,335641.0
2003-08-01,333478.0
2003-09-01,339451.0
2003-10-01,340292.0
2003-11-01,340813.0
2003-12-01,340662.0
2004-01-01,340904.0
2004-02-01,342437.0
2004-03-01,352405.0
2004-04-01,350787.0
2004-05-01,353584.0
2004-06-01,356098.0
2004-07-01,355168.0
2004-08-01,361544.0
2004-09-01,362733.0
2004-10-01,370763.0
2004-11-01,372665.0
2004-12-01,376171.0
2005-01-01,383451.0
2005-02-01,382856.0
2005-03-01,383330.0
2005-04-01,391914.0
2005-05-01,388713.0
2005-06-01,390608.0
2005-07-01,388894.0
2005-08-01,397874.0
2005-09-01,404626.0
2005-10-01,407023.0
2005-11-01,408759.0
2005-12-01,415629.0
2006-01-01,416522.0
2006-02-01,414555.0
2006-03-01,417841.0
2006-04-01,412824.0
2006-05-01,422874.0
2006-06-01,422097.0
2006-07-01,414867.0
2006-08-01,423317.0
2006-09-01,413563.0
2006-10-01,411428.0
2006-11-01,416349.0
2006-12-01,430529.0
2007-01-01,420568
2007-02-01,428419
2007-03-01,435276
2007-04-01,437473
2007-05-01,443106
2007-06-01,442827
2007-07-01,442320
2007-08-01,443719
2007-09-01,446716
2007-10-01,453209
2007-11-01,464025
2007-12-01,462350
2008-01-01,468524
2008-02-01,466987
2008-03-01,462466
2008-04-01,475523
2008-05-01,475246
2008-06-01,481867
2008-07-01,480744
2008-08-01,466681
2008-09-01,453298
2008-10-01,433552
2008-11-01,401585
2008-12-01,381495
2009-01-01,368581
2009-02-01,370125
2009-03-01,359215
2009-04-01,353787
2009-05-01,354483
2009-06-01,361739
2009-07-01,362449
2009-08-01,366753
2009-09-01,374771
2009-10-01,378606
2009-11-01,386354
2009-12-01,390857
2010-01-01,396215
2010-02-01,394069
2010-03-01,401764
2010-04-01,405276
2010-05-01,403798
2010-06-01,404071
2010-07-01,408072
2010-08-01,409306
2010-09-01,414874
2010-10-01,419156
