Period ,Type_1_AE_ATT
Aug-10,1138652
Sep-10,1150728
Oct-10,1163143
Nov-10,1111295
Dec-10,1159204
Jan-11,1133881
Feb-11,1053707
Mar-11,1225222
Apr-11,1197213
May-11,1221687
Jun-11,1168468
Jul-11,1211066
Aug-11,1135801
Sep-11,1162143
Oct-11,1200708
Nov-11,1134959
Dec-11,1141606
Jan-12,1137916
Feb-12,1120423
Mar-12,1263082
Apr-12,1149634
May-12,1251414
Jun-12,1222084
Jul-12,1248953
Aug-12,1197384
Sep-12,1178361
Oct-12,1214433
Nov-12,1167908
Dec-12,1202080
Jan-13,1149837
Feb-13,1085333
Mar-13,1226196
Apr-13,1199089
May-13,1229747
Jun-13,1191352
Jul-13,1281700
Aug-13,1189671
Sep-13,1156569
Oct-13,1199259
Nov-13,1139112
Dec-13,1172011
Jan-14,1142284
Feb-14,1084744
Mar-14,1269436
Apr-14,1213066
May-14,1287333
Jun-14,1265211
Jul-14,1302588
Aug-14,1188147
Sep-14,1221782
Oct-14,1250114
Nov-14,1205519
Dec-14,1241895
Jan-15,1124040
Feb-15,1072452
Mar-15,1251325
Apr-15,1206631
May-15,1254445
Jun-15,1249213
Jul-15,1271523
Aug-15,1215826
Sep-15,1221594
Oct-15,1261395
Nov-15,1236294
Dec-15,1232965
Jan-16,1250005
Feb-16,1218372
Mar-16,1350373
Apr-16,1214057
May-16,1353206
Jun-16,1282499
Jul-16,1353477
Aug-16,1254439
Sep-16,1277578
Oct-16,1317571
Nov-16,1258205
Dec-16,1277133
Jan-17,1237177
Feb-17,1127909
Mar-17,1309507
Apr-17,1253743
May-17,1347297
Jun-17,1296877
Jul-17,1348648
Aug-17,1256655
Sep-17,1263957
Oct-17,1325211
Nov-17,1281913
Dec-17,1289587
Jan-18,1257026
Feb-18,1151757
Mar-18,1299796
Apr-18,1246348
May-18,1354711
Jun-18,1306739
Jul-18,1365859
Aug-18,1252767
Sep-18,1269088
Oct-18,1320032
Nov-18,1305353
Dec-18,1307359
Jan-19,1344354
Feb-19,1234328
Mar-19,1373061
Apr-19,1330825
May-19,1369332
Jun-19,1334137
Jul-19,1415918
Aug-19,1324070
Sep-19,1342510
Oct-19,1376347
Nov-19,1366383
Dec-19,1373654
Jan-20,1327234
Feb-20,1237255
Mar-20,1013021
Apr-20,689720
May-20,924218
Jun-20,1016132
Jul-20,1120421
Aug-20,1179019
Sep-20,1163948
Oct-20,1111958
Nov-20,1036350
Dec-20,1039474
Jan-21,941194
Feb-21,903771
Mar-21,1161079
Apr-21,1259266
May-21,1396116
Jun-21,1436111
Jul-21,1430733
Aug-21,1341757
Sep-21,1392405
Oct-21,1419010
Nov-21,1336830
Dec-21,1250568
Jan-22,1247417
Feb-22,1205820
Mar-22,1421526
Apr-22,1312380
May-22,1437421
Jun-22,1400664
Jul-22,1397083
Aug-22,1299083
Sep-22,1301611
Oct-22,1399185
Nov-22,1395183
Dec-22,1437681
Jan-23,1243898
Feb-23,1206386
Mar-23,1372403
Apr-23,1271145
May-23,1400815
Jun-23,1389009
Jul-23,1379854
Aug-23,1323647
Sep-23,1369045
Oct-23,1413560
Nov-23,1385701
Dec-23,1383876
Jan-24,1397645
