Period,Type_3_AE_ATT
Aug-10," 559,358 "
Sep-10," 550,359 "
Oct-10," 583,244 "
Nov-10," 486,005 "
Dec-10," 533,001 "
Jan-11," 542,331 "
Feb-11," 494,408 "
Mar-11," 580,319 "
Apr-11," 593,120 "
May-11," 594,941 "
Jun-11," 562,210 "
Jul-11," 597,690 "
Aug-11," 570,417 "
Sep-11," 566,738 "
Oct-11," 593,757 "
Nov-11," 554,709 "
Dec-11," 542,479 "
Jan-12," 547,995 "
Feb-12," 532,653 "
Mar-12," 611,496 "
Apr-12," 568,200 "
May-12," 621,739 "
Jun-12," 611,800 "
Jul-12," 620,178 "
Aug-12," 594,854 "
Sep-12," 558,604 "
Oct-12," 564,448 "
Nov-12," 535,892 "
Dec-12," 572,792 "
Jan-13," 533,763 "
Feb-13," 514,445 "
Mar-13," 584,669 "
Apr-13," 578,025 "
May-13," 607,194 "
Jun-13," 585,094 "
Jul-13," 639,053 "
Aug-13," 597,681 "
Sep-13," 559,868 "
Oct-13," 577,465 "
Nov-13," 543,294 "
Dec-13," 562,209 "
Jan-14," 546,196 "
Feb-14," 529,366 "
Mar-14," 632,107 "
Apr-14," 612,576 "
May-14," 636,250 "
Jun-14," 622,060 "
Jul-14," 635,250 "
Aug-14," 576,112 "
Sep-14," 579,309 "
Oct-14," 587,832 "
Nov-14," 572,612 "
Dec-14," 611,673 "
Jan-15," 557,126 "
Feb-15," 534,238 "
Mar-15," 635,259 "
Apr-15," 614,171 "
May-15," 628,214 "
Jun-15," 608,598 "
Jul-15," 627,955 "
Aug-15," 599,855 "
Sep-15," 587,517 "
Oct-15," 611,438 "
Nov-15," 589,635 "
Dec-15," 588,539 "
Jan-16," 609,707 "
Feb-16," 604,017 "
Mar-16," 687,274 "
Apr-16," 603,365 "
May-16," 664,954 "
Jun-16," 624,123 "
Jul-16," 672,596 "
Aug-16," 626,058 "
Sep-16," 622,365 "
Oct-16," 633,225 "
Nov-16," 599,687 "
Dec-16," 621,865 "
Jan-17," 610,056 "
Feb-17," 561,977 "
Mar-17," 652,972 "
Apr-17," 648,469 "
May-17," 668,455 "
Jun-17," 646,567 "
Jul-17," 674,927 "
Aug-17," 620,096 "
Sep-17," 614,754 "
Oct-17," 668,728 "
Nov-17," 646,835 "
Dec-17," 672,209 "
Jan-18," 693,073 "
Feb-18," 626,353 "
Mar-18," 703,334 "
Apr-18," 690,765 "
May-18," 760,528 "
Jun-18," 737,568 "
Jul-18," 764,191 "
Aug-18," 695,970 "
Sep-18," 688,985 "
Oct-18," 708,178 "
Nov-18," 684,029 "
Dec-18," 697,087 "
Jan-19," 721,443 "
Feb-19," 676,436 "
Mar-19," 744,000 "
Apr-19," 732,059 "
May-19," 752,032 "
Jun-19," 724,617 "
Jul-19," 796,714 "
Aug-19," 752,579 "
Sep-19," 732,618 "
Oct-19," 744,147 "
Nov-19," 729,943 "
Dec-19," 763,425 "
Jan-20," 737,878 "
Feb-20," 687,312 "
Mar-20," 486,033 "
Apr-20," 207,129 "
May-20," 311,140 "
Jun-20," 363,576 "
Jul-20," 435,106 "
Aug-20," 507,753 "
Sep-20," 496,637 "
Oct-20," 454,377 "
Nov-20," 416,954 "
Dec-20," 405,362 "
Jan-21," 343,868 "
Feb-21," 346,348 "
Mar-21," 494,547 "
Apr-21," 571,603 "
May-21," 640,679 "
Jun-21," 681,859 "
Jul-21," 690,082 "
Aug-21," 654,346 "
Sep-21," 694,296 "
Oct-21," 706,091 "
Nov-21," 662,100 "
Dec-21," 589,161 "
Jan-22," 591,228 "
Feb-22," 581,573 "
Mar-22," 711,362 "
Apr-22," 678,518 "
May-22," 753,758 "
Jun-22," 750,117 "
Jul-22," 744,940 "
Aug-22," 655,794 "
Sep-22," 666,690 "
Oct-22," 747,403 "
Nov-22," 740,977 "
Dec-22," 819,806 "
Jan-23," 682,364 "
Feb-23," 666,176 "
Mar-23," 746,745 "
Apr-23," 716,211 "
May-23," 794,708 "
Jun-23," 785,749 "
Jul-23," 769,533 "
Aug-23," 738,580 "
Sep-23," 754,065 "
Oct-23," 761,289 "
Nov-23," 734,056 "
Dec-23," 756,074 "
Jan-24," 784,555 "
