DATE,ANXAVS
1992-01-01,35110
1992-02-01,33899
1992-03-01,35629
1992-04-01,36044
1992-05-01,35942
1992-06-01,36349
1992-07-01,36850
1992-08-01,36373
1992-09-01,37262
1992-10-01,36576
1992-11-01,36647
1992-12-01,38225
1993-01-01,37790
1993-02-01,37158
1993-03-01,37713
1993-04-01,37231
1993-05-01,37869
1993-06-01,38235
1993-07-01,38318
1993-08-01,38394
1993-09-01,39656
1993-10-01,39814
1993-11-01,40070
1993-12-01,41523
1994-01-01,40254
1994-02-01,41273
1994-03-01,40601
1994-04-01,41814
1994-05-01,42432
1994-06-01,42693
1994-07-01,42885
1994-08-01,43076
1994-09-01,43322
1994-10-01,43646
1994-11-01,44846
1994-12-01,45860
1995-01-01,45244
1995-02-01,45939
1995-03-01,45318
1995-04-01,46461
1995-05-01,46614
1995-06-01,47124
1995-07-01,45905
1995-08-01,47284
1995-09-01,48057
1995-10-01,47758
1995-11-01,48739
1995-12-01,51286
1996-01-01,47338
1996-02-01,47837
1996-03-01,50325
1996-04-01,48614
1996-05-01,49805
1996-06-01,51589
1996-07-01,49208
1996-08-01,50278
1996-09-01,51324
1996-10-01,50663
1996-11-01,52150
1996-12-01,53292
1997-01-01,50928
1997-02-01,53129
1997-03-01,53688
1997-04-01,54482
1997-05-01,54054
1997-06-01,55945
1997-07-01,56487
1997-08-01,56866
1997-09-01,57040
1997-10-01,57235
1997-11-01,57151
1997-12-01,57867
1998-01-01,56289
1998-02-01,58384
1998-03-01,59052
1998-04-01,57168
1998-05-01,57823
1998-06-01,58851
1998-07-01,56990
1998-08-01,56694
1998-09-01,58667
1998-10-01,57813
1998-11-01,58316
1998-12-01,58845
1999-01-01,57455
1999-02-01,58340
1999-03-01,58220
1999-04-01,58317
1999-05-01,59499
1999-06-01,60282
1999-07-01,60631
1999-08-01,60227
1999-09-01,60381
1999-10-01,60862
1999-11-01,59624
1999-12-01,59869
2000-01-01,61639
2000-02-01,59400
2000-03-01,62492
2000-04-01,63722
2000-05-01,62759
2000-06-01,63186
2000-07-01,63118
2000-08-01,63336
2000-09-01,64978
2000-10-01,63700
2000-11-01,63471
2000-12-01,64383
2001-01-01,62204
2001-02-01,62060
2001-03-01,61328
2001-04-01,58061
2001-05-01,57809
2001-06-01,57270
2001-07-01,55370
2001-08-01,55259
2001-09-01,53660
2001-10-01,52775
2001-11-01,51410
2001-12-01,52221
2002-01-01,50214.0
2002-02-01,51412.0
2002-03-01,51264.0
2002-04-01,50763.0
2002-05-01,51857.0
2002-06-01,51723.0
2002-07-01,50606.0
2002-08-01,51767.0
2002-09-01,51041.0
2002-10-01,50189.0
2002-11-01,50845.0
2002-12-01,49514.0
2003-01-01,49171.0
2003-02-01,49130.0
2003-03-01,49992.0
2003-04-01,49116.0
2003-05-01,49790.0
2003-06-01,49999.0
2003-07-01,49927.0
2003-08-01,49441.0
2003-09-01,51050.0
2003-10-01,50712.0
2003-11-01,51028.0
2003-12-01,51259.0
2004-01-01,50315.0
2004-02-01,49633.0
2004-03-01,51809.0
2004-04-01,51432.0
2004-05-01,51070.0
2004-06-01,52459.0
2004-07-01,52558.0
2004-08-01,52596.0
2004-09-01,53221.0
2004-10-01,54145.0
2004-11-01,52976.0
2004-12-01,54709.0
2005-01-01,56596.0
2005-02-01,55897.0
2005-03-01,55613.0
2005-04-01,56432.0
2005-05-01,56674.0
2005-06-01,57036.0
2005-07-01,56515.0
2005-08-01,57405.0
2005-09-01,57567.0
2005-10-01,58323.0
2005-11-01,58847.0
2005-12-01,60067.0
2006-01-01,59987.0
2006-02-01,60789.0
2006-03-01,61911.0
2006-04-01,61781.0
2006-05-01,62107.0
2006-06-01,61977.0
2006-07-01,61854.0
2006-08-01,62928.0
2006-09-01,62382.0
2006-10-01,62048.0
2006-11-01,63034.0
2006-12-01,63554.0
2007-01-01,61212
2007-02-01,62911
2007-03-01,63835
2007-04-01,64069
2007-05-01,64007
2007-06-01,64457
2007-07-01,62473
2007-08-01,64516
2007-09-01,65890
2007-10-01,64461
2007-11-01,64372
2007-12-01,65587
2008-01-01,65807
2008-02-01,64582
2008-03-01,65100
2008-04-01,66376
2008-05-01,65844
2008-06-01,65903
2008-07-01,64947
2008-08-01,64063
2008-09-01,65383
2008-10-01,62212
2008-11-01,61766
2008-12-01,61419
2009-01-01,56454
2009-02-01,56185
2009-03-01,54618
2009-04-01,52500
2009-05-01,52123
2009-06-01,52810
2009-07-01,52915
2009-08-01,52006
2009-09-01,52759
2009-10-01,52915
2009-11-01,53410
2009-12-01,54404
2010-01-01,54128
2010-02-01,54345
2010-03-01,55474
2010-04-01,55320
2010-05-01,55853
2010-06-01,56221
2010-07-01,56101
2010-08-01,56400
2010-09-01,57430
2010-10-01,57026
2010-11-01,57721
2010-12-01,58923
2011-01-01,59305
2011-02-01,57810
2011-03-01,60078
2011-04-01,60132
2011-05-01,60499
2011-06-01,61342
2011-07-01,61751
2011-08-01,64278
2011-09-01,63686
2011-10-01,63570
2011-11-01,63758
2011-12-01,65920
2012-01-01,65012
2012-02-01,66021
2012-03-01,67980
2012-04-01,66750
2012-05-01,67394
2012-06-01,67910
2012-07-01,66755
2012-08-01,65426
2012-09-01,65289
2012-10-01,65743
2012-11-01,67496
2012-12-01,67053
2013-01-01,66896
2013-02-01,67783
2013-03-01,67792
2013-04-01,66393
2013-05-01,67873
2013-06-01,66677
2013-07-01,65747
2013-08-01,65915
2013-09-01,65472
2013-10-01,65320
2013-11-01,68041
2013-12-01,67462
2014-01-01,66316
2014-02-01,67129
2014-03-01,67796
2014-04-01,66555
2014-05-01,67406
2014-06-01,67215
2014-07-01,67104
2014-08-01,69055
