Period,Type 1 Departments - Major A&E
08/10,1138652
09/10,1150728
10/10,1163143
11/10,1111295
12/10,1159204
01/11,1133881
02/11,1053707
03/11,1225222
04/11,1197213
05/11,1221687
06/11,1168468
07/11,1211066
08/11,1135801
09/11,1162143
10/11,1200708
11/11,1134959
12/11,1141606
01/12,1137916
02/12,1120423
03/12,1263082
04/12,1149634
05/12,1251414
06/12,1222084
07/12,1248953
08/12,1197384
09/12,1178361
10/12,1214433
11/12,1167908
12/12,1202080
01/13,1149837
02/13,1085333
03/13,1226196
04/13,1199089
05/13,1229747
06/13,1191352
07/13,1281700
08/13,1189671
09/13,1156569
10/13,1199259
11/13,1139112
12/13,1172011
01/14,1142284
02/14,1084744
03/14,1269436
04/14,1213066
05/14,1287333
06/14,1265211
07/14,1302588
08/14,1188147
09/14,1221782
10/14,1250114
11/14,1205519
12/14,1241895
01/15,1124040
02/15,1072452
03/15,1251325
04/15,1206631
05/15,1254445
06/15,1249213
07/15,1271523
08/15,1215826
09/15,1221594
10/15,1261395
11/15,1236294
12/15,1232965
01/16,1250005
02/16,1218372
03/16,1350373
04/16,1214057
05/16,1353206
06/16,1282499
07/16,1353477
08/16,1254439
09/16,1277578
10/16,1317571
11/16,1258205
12/16,1277133
01/17,1237177
02/17,1127909
03/17,1309507
04/17,1253743
05/17,1347297
06/17,1296877
07/17,1348648
08/17,1256655
09/17,1263957
10/17,1325211
11/17,1281913
12/17,1289587
01/18,1257026
02/18,1151757
03/18,1299796
04/18,1246348
05/18,1354711
06/18,1306739
07/18,1365859
08/18,1252767
09/18,1269088
10/18,1320032
11/18,1305353
12/18,1307359
01/19,1344354
02/19,1234328
03/19,1373061
04/19,1330825
05/19,1369332
06/19,1334137
07/19,1415918
08/19,1324070
09/19,1342510
10/19,1376347
11/19,1366383
12/19,1373654
01/20,1327234
02/20,1237255
03/20,1013021
04/20,689720
05/20,924218
06/20,1016132
07/20,1120421
08/20,1179019
09/20,1163948
10/20,1111958
11/20,1036350
12/20,1039474
01/21,941194
02/21,903771
03/21,1161079
04/21,1259266
05/21,1396116
06/21,1436111
07/21,1430733
08/21,1341757
09/21,1392405
10/21,1419010
11/21,1336830
12/21,1250568
01/22,1247417
02/22,1205820
03/22,1421526
04/22,1312380
05/22,1437421
06/22,1400664
07/22,1397083
08/22,1299083
09/22,1301611
10/22,1399185
11/22,1395183
12/22,1437681
01/23,1243898
02/23,1206386
03/23,1372403
04/23,1271145
05/23,1400815
06/23,1389009
07/23,1379854
08/23,1323647
09/23,1369045
10/23,1413560
11/23,1385701
