Period	Type 1 Departments - Major A&E
08/10	 1.138.652 
09/10	 1.150.728 
10/10	 1.163.143 
11/10	 1.111.295 
12/10	 1.159.204 
01/11	 1.133.881 
02/11	 1.053.707 
03/11	 1.225.222 
04/11	 1.197.213 
05/11	 1.221.687 
06/11	 1.168.468 
07/11	 1.211.066 
08/11	 1.135.801 
09/11	 1.162.143 
10/11	 1.200.708 
11/11	 1.134.959 
12/11	 1.141.606 
01/12	 1.137.916 
02/12	 1.120.423 
03/12	 1.263.082 
04/12	 1.149.634 
05/12	 1.251.414 
06/12	 1.222.084 
07/12	 1.248.953 
08/12	 1.197.384 
09/12	 1.178.361 
10/12	 1.214.433 
11/12	 1.167.908 
12/12	 1.202.080 
01/13	 1.149.837 
02/13	 1.085.333 
03/13	 1.226.196 
04/13	 1.199.089 
05/13	 1.229.747 
06/13	 1.191.352 
07/13	 1.281.700 
08/13	 1.189.671 
09/13	 1.156.569 
10/13	 1.199.259 
11/13	 1.139.112 
12/13	 1.172.011 
01/14	 1.142.284 
02/14	 1.084.744 
03/14	 1.269.436 
04/14	 1.213.066 
05/14	 1.287.333 
06/14	 1.265.211 
07/14	 1.302.588 
08/14	 1.188.147 
09/14	 1.221.782 
10/14	 1.250.114 
11/14	 1.205.519 
12/14	 1.241.895 
01/15	 1.124.040 
02/15	 1.072.452 
03/15	 1.251.325 
04/15	 1.206.631 
05/15	 1.254.445 
06/15	 1.249.213 
07/15	 1.271.523 
08/15	 1.215.826 
09/15	 1.221.594 
10/15	 1.261.395 
11/15	 1.236.294 
12/15	 1.232.965 
01/16	 1.250.005 
02/16	 1.218.372 
03/16	 1.350.373 
04/16	 1.214.057 
05/16	 1.353.206 
06/16	 1.282.499 
07/16	 1.353.477 
08/16	 1.254.439 
09/16	 1.277.578 
10/16	 1.317.571 
11/16	 1.258.205 
12/16	 1.277.133 
01/17	 1.237.177 
02/17	 1.127.909 
03/17	 1.309.507 
04/17	 1.253.743 
05/17	 1.347.297 
06/17	 1.296.877 
07/17	 1.348.648 
08/17	 1.256.655 
09/17	 1.263.957 
10/17	 1.325.211 
11/17	 1.281.913 
12/17	 1.289.587 
01/18	 1.257.026 
02/18	 1.151.757 
03/18	 1.299.796 
04/18	 1.246.348 
05/18	 1.354.711 
06/18	 1.306.739 
07/18	 1.365.859 
08/18	 1.252.767 
09/18	 1.269.088 
10/18	 1.320.032 
11/18	 1.305.353 
12/18	 1.307.359 
01/19	 1.344.354 
02/19	 1.234.328 
03/19	 1.373.061 
04/19	 1.330.825 
05/19	 1.369.332 
06/19	 1.334.137 
07/19	 1.415.918 
08/19	 1.324.070 
09/19	 1.342.510 
10/19	 1.376.347 
11/19	 1.366.383 
12/19	 1.373.654 
01/20	 1.327.234 
02/20	 1.237.255 
03/20	 1.013.021 
04/20	 689.720 
05/20	 924.218 
06/20	 1.016.132 
07/20	 1.120.421 
08/20	 1.179.019 
09/20	 1.163.948 
10/20	 1.111.958 
11/20	 1.036.350 
12/20	 1.039.474 
01/21	 941.194 
02/21	 903.771 
03/21	 1.161.079 
04/21	 1.259.266 
05/21	 1.396.116 
06/21	 1.436.111 
07/21	 1.430.733 
08/21	 1.341.757 
09/21	 1.392.405 
10/21	 1.419.010 
11/21	 1.336.830 
12/21	 1.250.568 
01/22	 1.247.417 
02/22	 1.205.820 
03/22	 1.421.526 
04/22	 1.312.380 
05/22	 1.437.421 
06/22	 1.400.664 
07/22	 1.397.083 
08/22	 1.299.083 
09/22	 1.301.611 
10/22	 1.399.185 
11/22	 1.395.183 
12/22	 1.437.681 
01/23	 1.243.898 
02/23	 1.206.386 
03/23	 1.372.403 
04/23	 1.271.145 
05/23	 1.400.815 
06/23	 1.389.009 
07/23	 1.379.854 
08/23	 1.323.647 
09/23	 1.369.045 
10/23	 1.413.560 
11/23	 1.385.701 
