"","Fcasted_dates","Point Forecast","Lo 95","Hi 95","Model","weekday"
"Dec 2023",2023-12-01,1363086.46691218,1231852.31233044,1494320.62149392,"ARIMA","Fri"
"Jan 2024",2024-01-01,1298988.25571158,1098186.66239201,1499789.84903115,"ARIMA","Mon"
"Feb 2024",2024-02-01,1268547.040288,1014720.13852888,1522373.94204711,"ARIMA","Thu"
"Mar 2024",2024-03-01,1417345.46403252,1119526.31630353,1715164.6117615,"ARIMA","Fri"
"Apr 2024",2024-04-01,1336453.07211257,1000313.29396406,1672592.85026108,"ARIMA","Mon"
"May 2024",2024-05-01,1433566.53452113,1063042.98855333,1804090.08048893,"ARIMA","Wed"
"Jun 2024",2024-06-01,1413566.75560138,1011589.03871727,1815544.47248549,"ARIMA","Sat"
"Jul 2024",2024-07-01,1409017.87520082,977874.543266271,1840161.20713536,"ARIMA","Mon"
"Aug 2024",2024-08-01,1347661.37356615,889204.094806329,1806118.65232596,"ARIMA","Thu"
"Sep 2024",2024-09-01,1363521.02139544,879288.037440395,1847754.00535048,"ARIMA","Sun"
"Oct 2024",2024-10-01,1420891.93980143,912187.615609558,1929596.2639933,"ARIMA","Tue"
"Nov 2024",2024-11-01,1410081.76442458,878030.454665677,1942133.07418347,"ARIMA","Fri"
"Dec 20231",2023-12-01,1401360.48950523,1282543.31561406,1520177.66339639,"TBATS","Fri"
"Jan 20241",2024-01-01,1303203.2396408,1135425.45896039,1470981.0203212,"TBATS","Mon"
"Feb 20241",2024-02-01,1262001.25651991,1055322.40950386,1468680.10353596,"TBATS","Thu"
"Mar 20241",2024-03-01,1360211.13411045,1120430.35360113,1599991.91461977,"TBATS","Fri"
"Apr 20241",2024-04-01,1308045.91393264,1040034.61022549,1576057.21763978,"TBATS","Mon"
"May 20241",2024-05-01,1362032.04278203,1068386.33559012,1655677.74997394,"TBATS","Wed"
"Jun 20241",2024-06-01,1371877.98408939,1054596.19397673,1689159.77420204,"TBATS","Sat"
"Jul 20241",2024-07-01,1376779.59390784,1037988.33008481,1715570.85773087,"TBATS","Mon"
"Aug 20241",2024-08-01,1324815.94484205,965370.353614984,1684261.53606913,"TBATS","Thu"
"Sep 20241",2024-09-01,1303393.57652645,924829.136158113,1681958.01689479,"TBATS","Sun"
"Oct 20241",2024-10-01,1369497.94601015,972699.096997697,1766296.79502259,"TBATS","Tue"
"Nov 20241",2024-11-01,1288553.58356505,874085.443791544,1703021.72333856,"TBATS","Fri"
