"","Fcasted_dates","Point Forecast","Lo 95","Hi 95","Model","weekday"
"Dec 2023",2023-12-01,1363086.46691218,1231852.31233044,1494320.62149392,"ARIMA","Fri"
"Jan 2024",2024-01-01,1298988.25571158,1098186.66239201,1499789.84903115,"ARIMA","Mon"
"Feb 2024",2024-02-01,1268547.040288,1014720.13852888,1522373.94204711,"ARIMA","Thu"
"Mar 2024",2024-03-01,1417345.46403252,1119526.31630353,1715164.6117615,"ARIMA","Fri"
"Apr 2024",2024-04-01,1336453.07211257,1000313.29396406,1672592.85026108,"ARIMA","Mon"
"May 2024",2024-05-01,1433566.53452113,1063042.98855333,1804090.08048893,"ARIMA","Wed"
"Jun 2024",2024-06-01,1413566.75560138,1011589.03871727,1815544.47248549,"ARIMA","Sat"
"Jul 2024",2024-07-01,1409017.87520082,977874.543266271,1840161.20713536,"ARIMA","Mon"
"Aug 2024",2024-08-01,1347661.37356615,889204.094806329,1806118.65232596,"ARIMA","Thu"
"Sep 2024",2024-09-01,1363521.02139544,879288.037440395,1847754.00535048,"ARIMA","Sun"
"Oct 2024",2024-10-01,1420891.93980143,912187.615609558,1929596.2639933,"ARIMA","Tue"
"Nov 2024",2024-11-01,1410081.76442458,878030.454665677,1942133.07418347,"ARIMA","Fri"
