"","Date","Att_TypeI","weekday","Type","Low_95_CI","High_95_CI","Model"
"1",2010-08-01,1138652,"Sun","Actual",NA,NA,NA
"2",2010-09-01,1150728,"Wed","Actual",NA,NA,NA
"3",2010-10-01,1163143,"Fri","Actual",NA,NA,NA
"4",2010-11-01,1111295,"Mon","Actual",NA,NA,NA
"5",2010-12-01,1159204,"Wed","Actual",NA,NA,NA
"6",2011-01-01,1133881,"Sat","Actual",NA,NA,NA
"7",2011-02-01,1053707,"Tue","Actual",NA,NA,NA
"8",2011-03-01,1225222,"Tue","Actual",NA,NA,NA
"9",2011-04-01,1197213,"Fri","Actual",NA,NA,NA
"10",2011-05-01,1221687,"Sun","Actual",NA,NA,NA
"11",2011-06-01,1168468,"Wed","Actual",NA,NA,NA
"12",2011-07-01,1211066,"Fri","Actual",NA,NA,NA
"13",2011-08-01,1135801,"Mon","Actual",NA,NA,NA
"14",2011-09-01,1162143,"Thu","Actual",NA,NA,NA
"15",2011-10-01,1200708,"Sat","Actual",NA,NA,NA
"16",2011-11-01,1134959,"Tue","Actual",NA,NA,NA
"17",2011-12-01,1141606,"Thu","Actual",NA,NA,NA
"18",2012-01-01,1137916,"Sun","Actual",NA,NA,NA
"19",2012-02-01,1120423,"Wed","Actual",NA,NA,NA
"20",2012-03-01,1263082,"Thu","Actual",NA,NA,NA
"21",2012-04-01,1149634,"Sun","Actual",NA,NA,NA
"22",2012-05-01,1251414,"Tue","Actual",NA,NA,NA
"23",2012-06-01,1222084,"Fri","Actual",NA,NA,NA
"24",2012-07-01,1248953,"Sun","Actual",NA,NA,NA
"25",2012-08-01,1197384,"Wed","Actual",NA,NA,NA
"26",2012-09-01,1178361,"Sat","Actual",NA,NA,NA
"27",2012-10-01,1214433,"Mon","Actual",NA,NA,NA
"28",2012-11-01,1167908,"Thu","Actual",NA,NA,NA
"29",2012-12-01,1202080,"Sat","Actual",NA,NA,NA
"30",2013-01-01,1149837,"Tue","Actual",NA,NA,NA
"31",2013-02-01,1085333,"Fri","Actual",NA,NA,NA
"32",2013-03-01,1226196,"Fri","Actual",NA,NA,NA
"33",2013-04-01,1199089,"Mon","Actual",NA,NA,NA
"34",2013-05-01,1229747,"Wed","Actual",NA,NA,NA
"35",2013-06-01,1191352,"Sat","Actual",NA,NA,NA
"36",2013-07-01,1281700,"Mon","Actual",NA,NA,NA
"37",2013-08-01,1189671,"Thu","Actual",NA,NA,NA
"38",2013-09-01,1156569,"Sun","Actual",NA,NA,NA
"39",2013-10-01,1199259,"Tue","Actual",NA,NA,NA
"40",2013-11-01,1139112,"Fri","Actual",NA,NA,NA
"41",2013-12-01,1172011,"Sun","Actual",NA,NA,NA
"42",2014-01-01,1142284,"Wed","Actual",NA,NA,NA
"43",2014-02-01,1084744,"Sat","Actual",NA,NA,NA
"44",2014-03-01,1269436,"Sat","Actual",NA,NA,NA
"45",2014-04-01,1213066,"Tue","Actual",NA,NA,NA
"46",2014-05-01,1287333,"Thu","Actual",NA,NA,NA
"47",2014-06-01,1265211,"Sun","Actual",NA,NA,NA
"48",2014-07-01,1302588,"Tue","Actual",NA,NA,NA
"49",2014-08-01,1188147,"Fri","Actual",NA,NA,NA
"50",2014-09-01,1221782,"Mon","Actual",NA,NA,NA
"51",2014-10-01,1250114,"Wed","Actual",NA,NA,NA
"52",2014-11-01,1205519,"Sat","Actual",NA,NA,NA
"53",2014-12-01,1241895,"Mon","Actual",NA,NA,NA
"54",2015-01-01,1124040,"Thu","Actual",NA,NA,NA
"55",2015-02-01,1072452,"Sun","Actual",NA,NA,NA
"56",2015-03-01,1251325,"Sun","Actual",NA,NA,NA
"57",2015-04-01,1206631,"Wed","Actual",NA,NA,NA
"58",2015-05-01,1254445,"Fri","Actual",NA,NA,NA
"59",2015-06-01,1249213,"Mon","Actual",NA,NA,NA
"60",2015-07-01,1271523,"Wed","Actual",NA,NA,NA
"61",2015-08-01,1215826,"Sat","Actual",NA,NA,NA
"62",2015-09-01,1221594,"Tue","Actual",NA,NA,NA
"63",2015-10-01,1261395,"Thu","Actual",NA,NA,NA
"64",2015-11-01,1236294,"Sun","Actual",NA,NA,NA
"65",2015-12-01,1232965,"Tue","Actual",NA,NA,NA
"66",2016-01-01,1250005,"Fri","Actual",NA,NA,NA
"67",2016-02-01,1218372,"Mon","Actual",NA,NA,NA
"68",2016-03-01,1350373,"Tue","Actual",NA,NA,NA
"69",2016-04-01,1214057,"Fri","Actual",NA,NA,NA
"70",2016-05-01,1353206,"Sun","Actual",NA,NA,NA
"71",2016-06-01,1282499,"Wed","Actual",NA,NA,NA
"72",2016-07-01,1353477,"Fri","Actual",NA,NA,NA
"73",2016-08-01,1254439,"Mon","Actual",NA,NA,NA
"74",2016-09-01,1277578,"Thu","Actual",NA,NA,NA
"75",2016-10-01,1317571,"Sat","Actual",NA,NA,NA
"76",2016-11-01,1258205,"Tue","Actual",NA,NA,NA
"77",2016-12-01,1277133,"Thu","Actual",NA,NA,NA
"78",2017-01-01,1237177,"Sun","Actual",NA,NA,NA
"79",2017-02-01,1127909,"Wed","Actual",NA,NA,NA
"80",2017-03-01,1309507,"Wed","Actual",NA,NA,NA
"81",2017-04-01,1253743,"Sat","Actual",NA,NA,NA
"82",2017-05-01,1347297,"Mon","Actual",NA,NA,NA
"83",2017-06-01,1296877,"Thu","Actual",NA,NA,NA
"84",2017-07-01,1348648,"Sat","Actual",NA,NA,NA
"85",2017-08-01,1256655,"Tue","Actual",NA,NA,NA
"86",2017-09-01,1263957,"Fri","Actual",NA,NA,NA
"87",2017-10-01,1325211,"Sun","Actual",NA,NA,NA
"88",2017-11-01,1281913,"Wed","Actual",NA,NA,NA
"89",2017-12-01,1289587,"Fri","Actual",NA,NA,NA
"90",2018-01-01,1257026,"Mon","Actual",NA,NA,NA
"91",2018-02-01,1151757,"Thu","Actual",NA,NA,NA
"92",2018-03-01,1299796,"Thu","Actual",NA,NA,NA
"93",2018-04-01,1246348,"Sun","Actual",NA,NA,NA
"94",2018-05-01,1354711,"Tue","Actual",NA,NA,NA
"95",2018-06-01,1306739,"Fri","Actual",NA,NA,NA
"96",2018-07-01,1365859,"Sun","Actual",NA,NA,NA
"97",2018-08-01,1252767,"Wed","Actual",NA,NA,NA
"98",2018-09-01,1269088,"Sat","Actual",NA,NA,NA
"99",2018-10-01,1320032,"Mon","Actual",NA,NA,NA
"100",2018-11-01,1305353,"Thu","Actual",NA,NA,NA
"101",2018-12-01,1307359,"Sat","Actual",NA,NA,NA
"102",2019-01-01,1344354,"Tue","Actual",NA,NA,NA
"103",2019-02-01,1234328,"Fri","Actual",NA,NA,NA
"104",2019-03-01,1373061,"Fri","Actual",NA,NA,NA
"105",2019-04-01,1330825,"Mon","Actual",NA,NA,NA
"106",2019-05-01,1369332,"Wed","Actual",NA,NA,NA
"107",2019-06-01,1334137,"Sat","Actual",NA,NA,NA
"108",2019-07-01,1415918,"Mon","Actual",NA,NA,NA
"109",2019-08-01,1324070,"Thu","Actual",NA,NA,NA
"110",2019-09-01,1342510,"Sun","Actual",NA,NA,NA
"111",2019-10-01,1376347,"Tue","Actual",NA,NA,NA
"112",2019-11-01,1366383,"Fri","Actual",NA,NA,NA
"113",2019-12-01,1373654,"Sun","Actual",NA,NA,NA
"114",2020-01-01,1327234,"Wed","Actual",NA,NA,NA
"115",2020-02-01,1237255,"Sat","Actual",NA,NA,NA
"116",2020-03-01,1013021,"Sun","Actual",NA,NA,NA
