"","Dateftd","Att_TypeI","Min_date","Max_date"
"1",NA,1138652,NA,NA
"2",NA,1150728,NA,NA
"3",NA,1163143,NA,NA
"4",NA,1111295,NA,NA
"5",NA,1159204,NA,NA
"6",NA,1133881,NA,NA
"7",NA,1053707,NA,NA
"8",NA,1225222,NA,NA
"9",NA,1197213,NA,NA
"10",NA,1221687,NA,NA
"11",NA,1168468,NA,NA
"12",NA,1211066,NA,NA
"13",NA,1135801,NA,NA
"14",NA,1162143,NA,NA
"15",NA,1200708,NA,NA
"16",NA,1134959,NA,NA
"17",NA,1141606,NA,NA
"18",NA,1137916,NA,NA
"19",NA,1120423,NA,NA
"20",NA,1263082,NA,NA
"21",NA,1149634,NA,NA
"22",NA,1251414,NA,NA
"23",NA,1222084,NA,NA
"24",NA,1248953,NA,NA
"25",NA,1197384,NA,NA
"26",NA,1178361,NA,NA
"27",NA,1214433,NA,NA
"28",NA,1167908,NA,NA
"29",NA,1202080,NA,NA
"30",NA,1149837,NA,NA
"31",NA,1085333,NA,NA
"32",NA,1226196,NA,NA
"33",NA,1199089,NA,NA
"34",NA,1229747,NA,NA
"35",NA,1191352,NA,NA
"36",NA,1281700,NA,NA
"37",NA,1189671,NA,NA
"38",NA,1156569,NA,NA
"39",NA,1199259,NA,NA
"40",NA,1139112,NA,NA
"41",NA,1172011,NA,NA
"42",NA,1142284,NA,NA
"43",NA,1084744,NA,NA
"44",NA,1269436,NA,NA
"45",NA,1213066,NA,NA
"46",NA,1287333,NA,NA
"47",NA,1265211,NA,NA
"48",NA,1302588,NA,NA
"49",NA,1188147,NA,NA
"50",NA,1221782,NA,NA
"51",NA,1250114,NA,NA
"52",NA,1205519,NA,NA
"53",NA,1241895,NA,NA
"54",NA,1124040,NA,NA
"55",NA,1072452,NA,NA
"56",NA,1251325,NA,NA
"57",NA,1206631,NA,NA
"58",NA,1254445,NA,NA
"59",NA,1249213,NA,NA
"60",NA,1271523,NA,NA
"61",NA,1215826,NA,NA
"62",NA,1221594,NA,NA
"63",NA,1261395,NA,NA
"64",NA,1236294,NA,NA
"65",NA,1232965,NA,NA
"66",NA,1250005,NA,NA
"67",NA,1218372,NA,NA
"68",NA,1350373,NA,NA
"69",NA,1214057,NA,NA
"70",NA,1353206,NA,NA
"71",NA,1282499,NA,NA
"72",NA,1353477,NA,NA
"73",NA,1254439,NA,NA
"74",NA,1277578,NA,NA
"75",NA,1317571,NA,NA
"76",NA,1258205,NA,NA
"77",NA,1277133,NA,NA
"78",NA,1237177,NA,NA
"79",NA,1127909,NA,NA
"80",NA,1309507,NA,NA
"81",NA,1253743,NA,NA
"82",NA,1347297,NA,NA
"83",NA,1296877,NA,NA
"84",NA,1348648,NA,NA
"85",NA,1256655,NA,NA
"86",NA,1263957,NA,NA
"87",NA,1325211,NA,NA
"88",NA,1281913,NA,NA
"89",NA,1289587,NA,NA
"90",NA,1257026,NA,NA
"91",NA,1151757,NA,NA
"92",NA,1299796,NA,NA
"93",NA,1246348,NA,NA
"94",NA,1354711,NA,NA
"95",NA,1306739,NA,NA
"96",NA,1365859,NA,NA
"97",NA,1252767,NA,NA
"98",NA,1269088,NA,NA
"99",NA,1320032,NA,NA
"100",NA,1305353,NA,NA
"101",NA,1307359,NA,NA
"102",NA,1344354,NA,NA
"103",NA,1234328,NA,NA
"104",NA,1373061,NA,NA
"105",NA,1330825,NA,NA
"106",NA,1369332,NA,NA
"107",NA,1334137,NA,NA
"108",NA,1415918,NA,NA
"109",NA,1324070,NA,NA
"110",NA,1342510,NA,NA
"111",NA,1376347,NA,NA
"112",NA,1366383,NA,NA
"113",NA,1373654,NA,NA
"114",NA,1327234,NA,NA
"115",NA,1237255,NA,NA
"116",NA,1013021,NA,NA
"117",NA,689720,NA,NA
"118",NA,924218,NA,NA
"119",NA,1016132,NA,NA
"120",NA,1120421,NA,NA
"121",NA,1179019,NA,NA
"122",NA,1163948,NA,NA
"123",NA,1111958,NA,NA
"124",NA,1036350,NA,NA
"125",NA,1039474,NA,NA
"126",NA,941194,NA,NA
"127",NA,903771,NA,NA
"128",NA,1161079,NA,NA
"129",NA,1259266,NA,NA
"130",NA,1396116,NA,NA
"131",NA,1436111,NA,NA
"132",NA,1430733,NA,NA
"133",NA,1341757,NA,NA
"134",NA,1392405,NA,NA
"135",NA,1419010,NA,NA
"136",NA,1336830,NA,NA
"137",NA,1250568,NA,NA
"138",NA,1247417,NA,NA
"139",NA,1205820,NA,NA
"140",NA,1421526,NA,NA
"141",NA,1312380,NA,NA
"142",NA,1437421,NA,NA
"143",NA,1400664,NA,NA
"144",NA,1397083,NA,NA
"145",NA,1299083,NA,NA
"146",NA,1301611,NA,NA
"147",NA,1399185,NA,NA
"148",NA,1395183,NA,NA
"149",NA,1437681,NA,NA
"150",NA,1243898,NA,NA
"151",NA,1206386,NA,NA
"152",NA,1372403,NA,NA
"153",NA,1271145,NA,NA
"154",NA,1400815,NA,NA
"155",NA,1389009,NA,NA
"156",NA,1379854,NA,NA
"157",NA,1323647,NA,NA
"158",NA,1369045,NA,NA
"159",NA,1413560,NA,NA
"160",NA,1385701,NA,NA
