"","Datef","Att_TypeI","Min_date","Max_date","weekday"
"1",2010-08-01,1138652,2010-08-01,2023-11-01,"Sun"
"2",2010-09-01,1150728,2010-08-01,2023-11-01,"Wed"
"3",2010-10-01,1163143,2010-08-01,2023-11-01,"Fri"
"4",2010-11-01,1111295,2010-08-01,2023-11-01,"Mon"
"5",2010-12-01,1159204,2010-08-01,2023-11-01,"Wed"
"6",2011-01-01,1133881,2010-08-01,2023-11-01,"Sat"
"7",2011-02-01,1053707,2010-08-01,2023-11-01,"Tue"
"8",2011-03-01,1225222,2010-08-01,2023-11-01,"Tue"
"9",2011-04-01,1197213,2010-08-01,2023-11-01,"Fri"
"10",2011-05-01,1221687,2010-08-01,2023-11-01,"Sun"
"11",2011-06-01,1168468,2010-08-01,2023-11-01,"Wed"
"12",2011-07-01,1211066,2010-08-01,2023-11-01,"Fri"
"13",2011-08-01,1135801,2010-08-01,2023-11-01,"Mon"
"14",2011-09-01,1162143,2010-08-01,2023-11-01,"Thu"
"15",2011-10-01,1200708,2010-08-01,2023-11-01,"Sat"
"16",2011-11-01,1134959,2010-08-01,2023-11-01,"Tue"
"17",2011-12-01,1141606,2010-08-01,2023-11-01,"Thu"
"18",2012-01-01,1137916,2010-08-01,2023-11-01,"Sun"
"19",2012-02-01,1120423,2010-08-01,2023-11-01,"Wed"
"20",2012-03-01,1263082,2010-08-01,2023-11-01,"Thu"
"21",2012-04-01,1149634,2010-08-01,2023-11-01,"Sun"
"22",2012-05-01,1251414,2010-08-01,2023-11-01,"Tue"
"23",2012-06-01,1222084,2010-08-01,2023-11-01,"Fri"
"24",2012-07-01,1248953,2010-08-01,2023-11-01,"Sun"
"25",2012-08-01,1197384,2010-08-01,2023-11-01,"Wed"
"26",2012-09-01,1178361,2010-08-01,2023-11-01,"Sat"
"27",2012-10-01,1214433,2010-08-01,2023-11-01,"Mon"
"28",2012-11-01,1167908,2010-08-01,2023-11-01,"Thu"
"29",2012-12-01,1202080,2010-08-01,2023-11-01,"Sat"
"30",2013-01-01,1149837,2010-08-01,2023-11-01,"Tue"
"31",2013-02-01,1085333,2010-08-01,2023-11-01,"Fri"
"32",2013-03-01,1226196,2010-08-01,2023-11-01,"Fri"
"33",2013-04-01,1199089,2010-08-01,2023-11-01,"Mon"
"34",2013-05-01,1229747,2010-08-01,2023-11-01,"Wed"
"35",2013-06-01,1191352,2010-08-01,2023-11-01,"Sat"
"36",2013-07-01,1281700,2010-08-01,2023-11-01,"Mon"
"37",2013-08-01,1189671,2010-08-01,2023-11-01,"Thu"
"38",2013-09-01,1156569,2010-08-01,2023-11-01,"Sun"
"39",2013-10-01,1199259,2010-08-01,2023-11-01,"Tue"
"40",2013-11-01,1139112,2010-08-01,2023-11-01,"Fri"
"41",2013-12-01,1172011,2010-08-01,2023-11-01,"Sun"
"42",2014-01-01,1142284,2010-08-01,2023-11-01,"Wed"
"43",2014-02-01,1084744,2010-08-01,2023-11-01,"Sat"
"44",2014-03-01,1269436,2010-08-01,2023-11-01,"Sat"
"45",2014-04-01,1213066,2010-08-01,2023-11-01,"Tue"
"46",2014-05-01,1287333,2010-08-01,2023-11-01,"Thu"
"47",2014-06-01,1265211,2010-08-01,2023-11-01,"Sun"
"48",2014-07-01,1302588,2010-08-01,2023-11-01,"Tue"
"49",2014-08-01,1188147,2010-08-01,2023-11-01,"Fri"
"50",2014-09-01,1221782,2010-08-01,2023-11-01,"Mon"
"51",2014-10-01,1250114,2010-08-01,2023-11-01,"Wed"
"52",2014-11-01,1205519,2010-08-01,2023-11-01,"Sat"
"53",2014-12-01,1241895,2010-08-01,2023-11-01,"Mon"
"54",2015-01-01,1124040,2010-08-01,2023-11-01,"Thu"
"55",2015-02-01,1072452,2010-08-01,2023-11-01,"Sun"
"56",2015-03-01,1251325,2010-08-01,2023-11-01,"Sun"
"57",2015-04-01,1206631,2010-08-01,2023-11-01,"Wed"
"58",2015-05-01,1254445,2010-08-01,2023-11-01,"Fri"
"59",2015-06-01,1249213,2010-08-01,2023-11-01,"Mon"
"60",2015-07-01,1271523,2010-08-01,2023-11-01,"Wed"
"61",2015-08-01,1215826,2010-08-01,2023-11-01,"Sat"
"62",2015-09-01,1221594,2010-08-01,2023-11-01,"Tue"
"63",2015-10-01,1261395,2010-08-01,2023-11-01,"Thu"
"64",2015-11-01,1236294,2010-08-01,2023-11-01,"Sun"
"65",2015-12-01,1232965,2010-08-01,2023-11-01,"Tue"
"66",2016-01-01,1250005,2010-08-01,2023-11-01,"Fri"
"67",2016-02-01,1218372,2010-08-01,2023-11-01,"Mon"
"68",2016-03-01,1350373,2010-08-01,2023-11-01,"Tue"
"69",2016-04-01,1214057,2010-08-01,2023-11-01,"Fri"
"70",2016-05-01,1353206,2010-08-01,2023-11-01,"Sun"
"71",2016-06-01,1282499,2010-08-01,2023-11-01,"Wed"
"72",2016-07-01,1353477,2010-08-01,2023-11-01,"Fri"
"73",2016-08-01,1254439,2010-08-01,2023-11-01,"Mon"
"74",2016-09-01,1277578,2010-08-01,2023-11-01,"Thu"
"75",2016-10-01,1317571,2010-08-01,2023-11-01,"Sat"
"76",2016-11-01,1258205,2010-08-01,2023-11-01,"Tue"
"77",2016-12-01,1277133,2010-08-01,2023-11-01,"Thu"
"78",2017-01-01,1237177,2010-08-01,2023-11-01,"Sun"
"79",2017-02-01,1127909,2010-08-01,2023-11-01,"Wed"
"80",2017-03-01,1309507,2010-08-01,2023-11-01,"Wed"
"81",2017-04-01,1253743,2010-08-01,2023-11-01,"Sat"
"82",2017-05-01,1347297,2010-08-01,2023-11-01,"Mon"
"83",2017-06-01,1296877,2010-08-01,2023-11-01,"Thu"
"84",2017-07-01,1348648,2010-08-01,2023-11-01,"Sat"
"85",2017-08-01,1256655,2010-08-01,2023-11-01,"Tue"
"86",2017-09-01,1263957,2010-08-01,2023-11-01,"Fri"
"87",2017-10-01,1325211,2010-08-01,2023-11-01,"Sun"
"88",2017-11-01,1281913,2010-08-01,2023-11-01,"Wed"
"89",2017-12-01,1289587,2010-08-01,2023-11-01,"Fri"
"90",2018-01-01,1257026,2010-08-01,2023-11-01,"Mon"
"91",2018-02-01,1151757,2010-08-01,2023-11-01,"Thu"
"92",2018-03-01,1299796,2010-08-01,2023-11-01,"Thu"
"93",2018-04-01,1246348,2010-08-01,2023-11-01,"Sun"
"94",2018-05-01,1354711,2010-08-01,2023-11-01,"Tue"
"95",2018-06-01,1306739,2010-08-01,2023-11-01,"Fri"
"96",2018-07-01,1365859,2010-08-01,2023-11-01,"Sun"
"97",2018-08-01,1252767,2010-08-01,2023-11-01,"Wed"
"98",2018-09-01,1269088,2010-08-01,2023-11-01,"Sat"
"99",2018-10-01,1320032,2010-08-01,2023-11-01,"Mon"
"100",2018-11-01,1305353,2010-08-01,2023-11-01,"Thu"
"101",2018-12-01,1307359,2010-08-01,2023-11-01,"Sat"
"102",2019-01-01,1344354,2010-08-01,2023-11-01,"Tue"
"103",2019-02-01,1234328,2010-08-01,2023-11-01,"Fri"
"104",2019-03-01,1373061,2010-08-01,2023-11-01,"Fri"
"105",2019-04-01,1330825,2010-08-01,2023-11-01,"Mon"
"106",2019-05-01,1369332,2010-08-01,2023-11-01,"Wed"
"107",2019-06-01,1334137,2010-08-01,2023-11-01,"Sat"
"108",2019-07-01,1415918,2010-08-01,2023-11-01,"Mon"
"109",2019-08-01,1324070,2010-08-01,2023-11-01,"Thu"
"110",2019-09-01,1342510,2010-08-01,2023-11-01,"Sun"
"111",2019-10-01,1376347,2010-08-01,2023-11-01,"Tue"
"112",2019-11-01,1366383,2010-08-01,2023-11-01,"Fri"
"113",2019-12-01,1373654,2010-08-01,2023-11-01,"Sun"
"114",2020-01-01,1327234,2010-08-01,2023-11-01,"Wed"
"115",2020-02-01,1237255,2010-08-01,2023-11-01,"Sat"
"116",2020-03-01,1013021,2010-08-01,2023-11-01,"Sun"
"117",2020-04-01,689720,2010-08-01,2023-11-01,"Wed"
"118",2020-05-01,924218,2010-08-01,2023-11-01,"Fri"
"119",2020-06-01,1016132,2010-08-01,2023-11-01,"Mon"
"120",2020-07-01,1120421,2010-08-01,2023-11-01,"Wed"
"121",2020-08-01,1179019,2010-08-01,2023-11-01,"Sat"
"122",2020-09-01,1163948,2010-08-01,2023-11-01,"Tue"
"123",2020-10-01,1111958,2010-08-01,2023-11-01,"Thu"
"124",2020-11-01,1036350,2010-08-01,2023-11-01,"Sun"
"125",2020-12-01,1039474,2010-08-01,2023-11-01,"Tue"
