"","date","value","Metric"
"1",2000-01-01,40027,"Computer_goods"
"2",2000-02-01,39935,"Computer_goods"
"3",2000-03-01,40945,"Computer_goods"
"4",2000-04-01,42122,"Computer_goods"
"5",2000-05-01,42641,"Computer_goods"
"6",2000-06-01,42212,"Computer_goods"
"7",2000-07-01,42526,"Computer_goods"
"8",2000-08-01,43502,"Computer_goods"
"9",2000-09-01,44412,"Computer_goods"
"10",2000-10-01,43495,"Computer_goods"
"11",2000-11-01,43117,"Computer_goods"
"12",2000-12-01,44534,"Computer_goods"
"13",2001-01-01,42538,"Computer_goods"
"14",2001-02-01,41726,"Computer_goods"
"15",2001-03-01,40150,"Computer_goods"
"16",2001-04-01,36643,"Computer_goods"
"17",2001-05-01,35574,"Computer_goods"
"18",2001-06-01,36051,"Computer_goods"
"19",2001-07-01,34241,"Computer_goods"
"20",2001-08-01,33120,"Computer_goods"
"21",2001-09-01,33125,"Computer_goods"
"22",2001-10-01,32408,"Computer_goods"
"23",2001-11-01,32290,"Computer_goods"
"24",2001-12-01,32826,"Computer_goods"
"25",2002-01-01,31460,"Computer_goods"
"26",2002-02-01,31555,"Computer_goods"
"27",2002-03-01,31313,"Computer_goods"
"28",2002-04-01,30961,"Computer_goods"
"29",2002-05-01,31071,"Computer_goods"
"30",2002-06-01,29976,"Computer_goods"
"31",2002-07-01,29775,"Computer_goods"
"32",2002-08-01,29855,"Computer_goods"
"33",2002-09-01,28792,"Computer_goods"
"34",2002-10-01,28205,"Computer_goods"
"35",2002-11-01,28961,"Computer_goods"
"36",2002-12-01,27401,"Computer_goods"
"37",2003-01-01,28320,"Computer_goods"
"38",2003-02-01,28419,"Computer_goods"
"39",2003-03-01,28179,"Computer_goods"
"40",2003-04-01,28896,"Computer_goods"
"41",2003-05-01,28899,"Computer_goods"
"42",2003-06-01,29161,"Computer_goods"
"43",2003-07-01,29058,"Computer_goods"
"44",2003-08-01,29249,"Computer_goods"
"45",2003-09-01,29983,"Computer_goods"
"46",2003-10-01,30744,"Computer_goods"
"47",2003-11-01,30078,"Computer_goods"
"48",2003-12-01,30741,"Computer_goods"
"49",2004-01-01,30170,"Computer_goods"
"50",2004-02-01,29719,"Computer_goods"
"51",2004-03-01,29844,"Computer_goods"
"52",2004-04-01,30469,"Computer_goods"
"53",2004-05-01,30249,"Computer_goods"
"54",2004-06-01,30116,"Computer_goods"
"55",2004-07-01,30797,"Computer_goods"
"56",2004-08-01,30466,"Computer_goods"
"57",2004-09-01,30058,"Computer_goods"
"58",2004-10-01,31040,"Computer_goods"
"59",2004-11-01,30801,"Computer_goods"
"60",2004-12-01,31179,"Computer_goods"
"61",2005-01-01,30490,"Computer_goods"
"62",2005-02-01,30482,"Computer_goods"
"63",2005-03-01,31280,"Computer_goods"
"64",2005-04-01,30386,"Computer_goods"
"65",2005-05-01,30595,"Computer_goods"
"66",2005-06-01,31034,"Computer_goods"
"67",2005-07-01,30311,"Computer_goods"
"68",2005-08-01,31311,"Computer_goods"
"69",2005-09-01,31483,"Computer_goods"
"70",2005-10-01,30988,"Computer_goods"
"71",2005-11-01,31409,"Computer_goods"
"72",2005-12-01,33089,"Computer_goods"
"73",2006-01-01,30575,"Computer_goods"
"74",2006-02-01,33313,"Computer_goods"
"75",2006-03-01,33142,"Computer_goods"
"76",2006-04-01,31569,"Computer_goods"
"77",2006-05-01,33051,"Computer_goods"
"78",2006-06-01,33288,"Computer_goods"
"79",2006-07-01,31876,"Computer_goods"
"80",2006-08-01,33312,"Computer_goods"
"81",2006-09-01,33254,"Computer_goods"
"82",2006-10-01,32103,"Computer_goods"
"83",2006-11-01,33137,"Computer_goods"
"84",2006-12-01,32438,"Computer_goods"
"85",2007-01-01,32299,"Computer_goods"
"86",2007-02-01,33446,"Computer_goods"
"87",2007-03-01,32892,"Computer_goods"
"88",2007-04-01,33034,"Computer_goods"
"89",2007-05-01,33257,"Computer_goods"
"90",2007-06-01,33439,"Computer_goods"
"91",2007-07-01,31153,"Computer_goods"
"92",2007-08-01,33061,"Computer_goods"
"93",2007-09-01,33049,"Computer_goods"
"94",2007-10-01,32442,"Computer_goods"
"95",2007-11-01,33726,"Computer_goods"
"96",2007-12-01,33629,"Computer_goods"
"97",2008-01-01,34257,"Computer_goods"
"98",2008-02-01,33268,"Computer_goods"
"99",2008-03-01,32787,"Computer_goods"
"100",2008-04-01,32979,"Computer_goods"
"101",2008-05-01,33360,"Computer_goods"
"102",2008-06-01,32200,"Computer_goods"
"103",2008-07-01,32316,"Computer_goods"
"104",2008-08-01,31045,"Computer_goods"
"105",2008-09-01,31439,"Computer_goods"
"106",2008-10-01,30141,"Computer_goods"
"107",2008-11-01,28878,"Computer_goods"
"108",2008-12-01,30244,"Computer_goods"
"109",2009-01-01,26811,"Computer_goods"
"110",2009-02-01,26803,"Computer_goods"
"111",2009-03-01,26776,"Computer_goods"
"112",2009-04-01,25941,"Computer_goods"
"113",2009-05-01,25699,"Computer_goods"
"114",2009-06-01,25968,"Computer_goods"
"115",2009-07-01,27119,"Computer_goods"
"116",2009-08-01,26600,"Computer_goods"
"117",2009-09-01,26458,"Computer_goods"
"118",2009-10-01,27314,"Computer_goods"
"119",2009-11-01,27134,"Computer_goods"
"120",2009-12-01,26572,"Computer_goods"
"121",2010-01-01,28163,"Computer_goods"
"122",2010-02-01,26959,"Computer_goods"
"123",2010-03-01,26082,"Computer_goods"
"124",2010-04-01,27815,"Computer_goods"
"125",2010-05-01,27208,"Computer_goods"
"126",2010-06-01,25679,"Computer_goods"
"127",2010-07-01,28038,"Computer_goods"
"128",2010-08-01,27333,"Computer_goods"
"129",2010-09-01,27324,"Computer_goods"
"130",2010-10-01,27681,"Computer_goods"
"131",2010-11-01,28525,"Computer_goods"
"132",2010-12-01,27259,"Computer_goods"
"133",2011-01-01,28285,"Computer_goods"
"134",2011-02-01,28128,"Computer_goods"
"135",2011-03-01,27125,"Computer_goods"
"136",2011-04-01,28528,"Computer_goods"
"137",2011-05-01,28110,"Computer_goods"
"138",2011-06-01,27373,"Computer_goods"
"139",2011-07-01,27326,"Computer_goods"
"140",2011-08-01,28497,"Computer_goods"
"141",2011-09-01,27473,"Computer_goods"
"142",2011-10-01,27786,"Computer_goods"
"143",2011-11-01,27674,"Computer_goods"
"144",2011-12-01,26222,"Computer_goods"
"145",2012-01-01,27702,"Computer_goods"
"146",2012-02-01,27887,"Computer_goods"
"147",2012-03-01,25812,"Computer_goods"
"148",2012-04-01,26662,"Computer_goods"
"149",2012-05-01,27372,"Computer_goods"
"150",2012-06-01,26366,"Computer_goods"
"151",2012-07-01,25719,"Computer_goods"
"152",2012-08-01,24390,"Computer_goods"
"153",2012-09-01,25024,"Computer_goods"
"154",2012-10-01,25429,"Computer_goods"
"155",2012-11-01,25383,"Computer_goods"
"156",2012-12-01,25625,"Computer_goods"
"157",2013-01-01,25219,"Computer_goods"
"158",2013-02-01,25499,"Computer_goods"
"159",2013-03-01,26071,"Computer_goods"
"160",2013-04-01,25629,"Computer_goods"
"161",2013-05-01,26098,"Computer_goods"
"162",2013-06-01,26045,"Computer_goods"
"163",2013-07-01,25409,"Computer_goods"
"164",2013-08-01,25608,"Computer_goods"
"165",2013-09-01,26181,"Computer_goods"
"166",2013-10-01,25651,"Computer_goods"
"167",2013-11-01,26071,"Computer_goods"
"168",2013-12-01,25899,"Computer_goods"
"169",2014-01-01,26239,"Computer_goods"
"170",2014-02-01,25584,"Computer_goods"
"171",2014-03-01,25801,"Computer_goods"
"172",2014-04-01,26107,"Computer_goods"
"173",2014-05-01,25637,"Computer_goods"
"174",2014-06-01,26004,"Computer_goods"
"175",2014-07-01,26048,"Computer_goods"
"176",2014-08-01,25482,"Computer_goods"
"177",2014-09-01,25215,"Computer_goods"
"178",2014-10-01,24762,"Computer_goods"
"179",2014-11-01,24040,"Computer_goods"
